participant,list,serial_position,word,category,size,first_letter,word_length,color_r,color_g,color_b,pos_x,pos_y,list_group
0,0,1,MOUSE,MAMMALS,small,M,5,77,68,176,59.810652085416955,50.61831054288134,early
0,0,2,KIWI,FRUITS,small,K,4,7,56,231,34.57080696605601,11.709213349719755,early
0,0,3,WINDOW,BUILDING RELATED,large,W,6,83,156,254,0.45490985709987,26.307509821682526,early
0,0,4,HALL,BUILDING RELATED,large,H,4,130,151,147,47.767514579058655,37.89007517747775,early
0,0,5,TANGELO,FRUITS,small,T,7,12,25,28,75.07140358243447,78.15029459071118,early
0,0,6,GIRAFFE,MAMMALS,large,G,7,138,222,211,38.683105725710135,64.62164785820148,early
0,0,7,SPATULA,KITCHEN-RELATED,small,S,7,37,140,38,56.44175630317629,40.94091280384076,early
0,0,8,GLASS,KITCHEN-RELATED,small,G,5,156,191,164,29.832939147346696,16.673664322998494,early
0,0,9,GUAVA,FRUITS,small,G,5,45,172,72,67.35857919372187,7.561434417340792,early
0,0,10,REFRIGERATOR,KITCHEN-RELATED,large,R,12,58,160,4,56.205582542471916,33.14757529500709,early
0,0,11,HORSE,MAMMALS,large,H,5,19,201,160,48.78376736127955,20.976093770970028,early
0,0,12,CORRIDOR,BUILDING RELATED,large,C,8,169,90,7,13.986170582593987,58.77192221610172,early
0,0,13,COW,MAMMALS,large,C,3,253,125,12,31.796204547513504,50.92959787083468,early
0,0,14,POT,KITCHEN-RELATED,large,P,3,145,175,85,72.15695454113433,18.83909086841015,early
0,0,15,DOOR,BUILDING RELATED,large,D,4,138,65,62,67.2962899202169,57.999101555678436,early
0,0,16,STRAWBERRY,FRUITS,small,S,10,250,92,237,11.454749003906645,53.64198469998106,early
0,1,1,RUTABAGA,VEGETABLES,small,R,8,56,86,223,25.434460788135898,17.048949884180015,early
0,1,2,RABBIT,MAMMALS,small,R,6,154,77,52,28.452975658425615,73.1879248441662,early
0,1,3,TERMITE,INSECTS,small,T,7,186,29,110,26.16838519840783,76.10168381225351,early
0,1,4,ALASKA,STATES,large,A,6,45,253,227,18.597350370304156,62.82347508416411,early
0,1,5,WASP,INSECTS,small,W,4,107,86,164,52.78738328742075,31.856845045588287,early
0,1,6,RHINOCEROS,MAMMALS,large,R,10,1,195,227,48.19676316994214,36.083406089692325,early
0,1,7,CHRYSALIS,INSECTS,small,C,9,204,63,78,8.541357256689189,26.86136367796535,early
0,1,8,OKRA,VEGETABLES,small,O,4,34,149,94,63.5488793804003,33.82188772019793,early
0,1,9,PENNSYLVANIA,STATES,large,P,12,149,60,3,38.71564846403877,48.70546049907588,early
0,1,10,FOX,MAMMALS,large,F,3,55,48,133,47.11115625057937,52.762487581973744,early
0,1,11,GINGER,VEGETABLES,small,G,6,211,159,37,9.663378494952928,77.12772928645099,early
0,1,12,BEETLE,INSECTS,small,B,6,231,69,158,9.128492696250106,36.163711182034184,early
0,1,13,PUMPKIN,VEGETABLES,large,P,7,246,150,220,53.96487810612866,37.982253872814645,early
0,1,14,OHIO,STATES,large,O,4,49,214,219,45.92648305583518,18.18154063460225,early
0,1,15,LLAMA,MAMMALS,large,L,5,147,46,213,49.952104717025286,47.88430554434197,early
0,1,16,TEXAS,STATES,large,T,5,165,104,80,63.19821855623194,69.97566586610422,early
0,2,1,JUMPER,CLOTHING,small,J,6,91,74,232,23.222959111703247,62.975762813390176,early
0,2,2,UKULELE,INSTRUMENTS,small,U,7,142,82,170,60.85534181645579,27.385978236354692,early
0,2,3,SHIRT,CLOTHING,small,S,5,152,21,94,29.878017252872496,28.9986875473271,early
0,2,4,BLENDER,KITCHEN-RELATED,large,B,7,94,135,166,1.744066791783826,23.674848626201623,early
0,2,5,ROBE,CLOTHING,small,R,4,35,105,40,6.808949377214006,70.28764728903057,early
0,2,6,BANJO,INSTRUMENTS,large,B,5,108,205,191,83.8484062470262,11.561011339765415,early
