participant,list,output_position,word,category,serial_position,list_group
0,0,1,KIWI,FRUITS,2,early
0,0,2,WINDOW,BUILDING RELATED,3,early
0,0,3,HALL,BUILDING RELATED,4,early
0,0,4,SPATULA,KITCHEN-RELATED,7,early
0,0,5,GLASS,KITCHEN-RELATED,8,early
0,0,6,HORSE,MAMMALS,11,early
0,0,7,STRAWBERRY,FRUITS,16,early
0,0,8,DOOR,BUILDING RELATED,15,early
0,1,1,RUTABAGA,VEGETABLES,1,early
0,1,2,ALASKA,STATES,4,early
0,1,3,WASP,INSECTS,5,early
0,1,4,TERMITE,INSECTS,3,early
0,1,5,OHIO,STATES,14,early
0,1,6,PENNSYLVANIA,STATES,9,early
0,1,7,GIRAFFE,MAMMALS,6,early
0,1,8,GINGER,VEGETABLES,11,early
0,2,1,JUMPER,CLOTHING,1,early
0,2,2,UKULELE,INSTRUMENTS,2,early
0,2,3,SHIRT,CLOTHING,3,early
0,2,4,WINDOW,BUILDING RELATED,3,early
0,2,5,ROBE,CLOTHING,5,early
0,2,6,CUP,KITCHEN-RELATED,8,early
0,2,7,MIXER,KITCHEN-RELATED,12,early
0,2,8,BANJO,INSTRUMENTS,6,early
0,2,9,HARMONICA,INSTRUMENTS,15,early
0,2,10,SPRUCE,TREES,10,early
0,2,11,OAK,TREES,13,early
0,3,1,LEOPARD,MAMMALS,1,early
0,3,2,PIANO,INSTRUMENTS,2,early
0,3,3,FERRET,MAMMALS,3,early
0,3,4,SAW,TOOLS,4,early
0,3,5,PROTRACTOR,TOOLS,5,early
0,3,6,COW,MAMMALS,13,early
0,3,7,ENGLAND,COUNTRIES,7,early
0,3,8,FRANCE,COUNTRIES,11,early
0,3,9,SQUIRREL,MAMMALS,16,early
0,3,10,BOLTS,TOOLS,15,early
0,3,11,CLARINET,INSTRUMENTS,9,early
0,4,1,SCORPION,INSECTS,2,early
0,4,2,ANKLE,BODY PARTS,3,early
0,4,3,XYLOPHONE,INSTRUMENTS,6,early
0,4,4,ASH,TREES,8,early
0,4,5,EUCALYPTUS,TREES,5,early
0,4,6,ALCOVE,BUILDING RELATED,13,early
0,4,7,FINGER,BODY PARTS,9,early
0,4,8,LIP,BODY PARTS,16,early
0,4,9,SPRUCE,TREES,10,early
0,4,10,WILLOW,TREES,12,early
0,4,11,WORM,INSECTS,10,early
0,5,1,UTAH,STATES,1,early
0,5,2,FORK,KITCHEN-RELATED,2,early
0,5,3,SKILLET,KITCHEN-RELATED,14,early
0,5,4,MONTANA,STATES,5,early
0,5,5,MAINE,STATES,6,early
0,5,6,DAISY,FLOWERS,15,early
0,5,7,SUNFLOWER,FLOWERS,9,early
0,5,8,TOASTER,KITCHEN-RELATED,10,early
0,5,9,NARCISSUS,FLOWERS,13,early
0,6,1,FLOOR,BUILDING RELATED,14,early
0,6,2,FOUNDATION,BUILDING RELATED,4,early
0,6,3,SAUCER,KITCHEN-RELATED,6,early
0,6,4,BERLIN,CITIES,12,early
0,6,5,CAULIFLOWER,VEGETABLES,10,early
0,6,6,BROCCOLI,VEGETABLES,9,early
0,6,7,DAHLIA,FLOWERS,5,early
0,6,8,AZALEA,FLOWERS,2,early
0,6,9,ELEVATOR,BUILDING RELATED,1,early
0,7,1,TEAK,TREES,3,early
0,7,2,MANTIS,INSECTS,4,early
0,7,3,SWEATER,CLOTHING,5,early
0,7,4,ROME,CITIES,10,early
0,7,5,CHICAGO,CITIES,7,early
0,7,6,SYDNEY,CITIES,14,early
0,7,7,BERLIN,CITIES,12,early
0,7,8,MILLIPEDE,INSECTS,11,early
0,7,9,HORNET,INSECTS,13,early
0,8,1,ELEPHANT,MAMMALS,15,late
0,8,2,FACE,BODY PARTS,9,late
0,8,3,LION,MAMMALS,3,late
0,8,4,BASS,INSTRUMENTS,2,late
0,8,5,TROMBONE,INSTRUMENTS,4,late
0,8,6,MARACAS,INSTRUMENTS,11,late
0,8,7,ITALY,COUNTRIES,1,late
0,8,8,SPAIN,,8,late
0,8,9,ETHIOPIA,COUNTRIES,9,late
0,9,1,MONTREAL,CITIES,1,late
0,9,2,TUBA,INSTRUMENTS,7,late
0,9,3,PICCOLO,INSTRUMENTS,9,late
0,9,4,ELVIS,,4,late
0,9,5,HIP,BODY PARTS,11,late
0,9,6,ITALY,COUNTRIES,1,late
0,9,7,ROME,CITIES,10,late
0,10,1,TORONTO,CITIES,1,late
0,10,2,OLIVE,VEGETABLES,2,late
0,10,3,KIDNEY,BODY PARTS,3,late
0,10,4,GOAT,MAMMALS,6,late
0,10,5,LEOPARD,MAMMALS,1,late
0,10,6,PANTHER,MAMMALS,9,late
0,10,7,SHEEP,MAMMALS,8,late
0,10,8,BOMBAY,CITIES,13,late
0,10,9,WOLF,MAMMALS,15,late
0,11,1,GERMANY,COUNTRIES,2,late
0,11,2,JACKET,CLOTHING,1,late
0,11,3,POTATO,VEGETABLES,5,late
0,11,4,SPINACH,VEGETABLES,16,late
0,11,5,ARTICHOKE,VEGETABLES,15,late
0,11,6,CUBA,COUNTRIES,14,late
0,11,7,BLOUSE,CLOTHING,6,late
0,11,8,SUIT,CLOTHING,13,late
0,11,9,CAMISOLE,CLOTHING,12,late
0,11,10,POTATO,VEGETABLES,5,late
0,12,1,FLORIDA,STATES,1,late
0,12,2,LEMON,FRUITS,2,late
0,12,3,CLEMENTINE,FRUITS,5,late
0,12,4,MOOSE,MAMMALS,3,late
0,12,5,MICHIGAN,STATES,13,late
0,12,6,ANTELOPE,MAMMALS,14,late
0,12,7,IOWA,STATES,11,late
0,12,8,RACOON,MAMMALS,12,late
0,12,9,POMEGRANATE,FRUITS,15,late
0,12,10,PEAR,FRUITS,7,late
0,13,1,TOKYO,CITIES,16,late
0,13,2,CALIFORNIA,STATES,13,late
0,13,3,JERUSALEM,CITIES,15,late
0,13,4,VERMONT,STATES,14,late
0,13,5,PHILADELPHIA,CITIES,10,late
0,13,6,KUMQUAT,FRUITS,6,late
0,13,7,NUTS,TOOLS,2,late
0,13,8,BANANA,FRUITS,11,late
0,13,9,RULER,TOOLS,3,late
0,13,10,WASHER,TOOLS,9,late
0,13,11,MANGO,FRUITS,5,late
0,14,1,PETUNIA,FLOWERS,1,late
0,14,2,CARNATION,FLOWERS,2,late
0,14,3,ROSE,FLOWERS,10,late
0,14,4,TULIP,FLOWERS,11,late
0,14,5,HEART,BODY PARTS,6,late
0,14,6,FACE,BODY PARTS,9,late
0,14,7,BARN,BUILDING RELATED,7,late
0,14,8,ALCOVE,BUILDING RELATED,13,late
0,14,9,GAZEBO,BUILDING RELATED,15,late
0,14,10,HIPPOPOTAMUS,MAMMALS,16,late
0,14,11,TIGER,MAMMALS,8,late
0,14,12,DOG,MAMMALS,14,late
0,14,13,KITCHEN,BUILDING RELATED,3,late
0,14,14,PANCREAS,BODY PARTS,6,late
0,15,1,SAXOPHONE,INSTRUMENTS,16,late
0,15,2,VIOLIN,INSTRUMENTS,15,late
0,15,3,HONEYDEW,FRUITS,8,late
0,15,4,RASPBERRY,FRUITS,14,late
0,15,5,HAMMER,TOOLS,1,late
0,15,6,SCREWS,TOOLS,4,late
0,15,7,ELM,TREES,5,late
0,15,8,HICKORY,TREES,9,late
0,15,9,MAPLE,TREES,2,late
0,15,10,PLUM,FRUITS,11,late
0,15,11,WEDGE,TOOLS,12,late
1,0,1,PANTS,CLOTHING,1,early
1,0,2,UNDERWEAR,CLOTHING,3,early
1,0,3,DRESS,CLOTHING,4,early
1,0,4,GIRDLE,CLOTHING,2,early
1,0,5,SKILLET,KITCHEN-RELATED,6,early
1,0,6,TOASTER,KITCHEN-RELATED,8,early
1,0,7,KNIFE,KITCHEN-RELATED,7,early
1,0,8,FORK,KITCHEN-RELATED,5,early
1,0,9,ARIZONA,STATES,9,early
1,0,10,UTAH,STATES,11,early
1,0,11,MONTANA,STATES,10,early
1,0,12,DAISY,FLOWERS,16,early
1,0,13,LILY,FLOWERS,13,early
1,0,14,SUNFLOWER,FLOWERS,15,early
1,0,15,NARCISSUS,FLOWERS,14,early
1,1,1,DISH,KITCHEN-RELATED,14,early
1,1,2,MONKEY,MAMMALS,4,early
1,1,3,ANTELOPE,MAMMALS,1,early
1,1,4,TOOTH,BODY PARTS,5,early
1,1,5,RIB,BODY PARTS,6,early
1,1,6,PANCREAS,BODY PARTS,7,early
1,1,7,MICHIGAN,STATES,12,early
1,1,8,IOWA,STATES,9,early
1,1,9,LEMON,FRUITS,13,early
1,1,10,CARPET,BUILDING RELATED,5,early
1,1,11,REMNANTS,,11,early
1,1,12,CLEMENTINE,FRUITS,15,early
1,1,13,PANCREAS,BODY PARTS,7,early
1,2,1,ZEBRA,MAMMALS,1,early
1,2,2,ELEPHANT,MAMMALS,2,early
1,2,3,LION,MAMMALS,3,early
1,2,4,STRAINER,KITCHEN-RELATED,9,early
1,2,5,ITALY,COUNTRIES,10,early
1,2,6,POLAND,COUNTRIES,11,early
1,3,1,TORONTO,CITIES,1,early
1,3,2,MIAMI,CITIES,3,early
1,3,3,STOCKHOLM,CITIES,4,early
1,3,4,ELBOW,BODY PARTS,16,early
1,3,5,FOOT,BODY PARTS,14,early
1,3,6,AUBERGINE,VEGETABLES,11,early
1,3,7,SQUASH,VEGETABLES,9,early
1,3,8,PARIS,CITIES,4,early
1,4,1,SWITZERLAND,COUNTRIES,13,early
1,4,2,FRANCE,COUNTRIES,14,early
1,4,3,ENGLAND,COUNTRIES,15,early
1,4,4,JAPAN,COUNTRIES,16,early
1,4,5,BOLTS,TOOLS,9,early
1,4,6,CHISEL,TOOLS,12,early
1,4,7,CAT,MAMMALS,2,early
1,4,8,FERRET,MAMMALS,1,early
1,4,9,SQUIRREL,MAMMALS,3,early
1,4,10,LEOPARD,MAMMALS,4,early
1,4,11,SAW,TOOLS,11,early
1,4,12,KAZOO,INSTRUMENTS,8,early
1,5,1,MANTIS,INSECTS,16,early
1,5,2,CEDAR,TREES,1,early
1,5,3,SYDNEY,CITIES,6,early
1,5,4,BERLIN,CITIES,7,early
1,5,5,CHICAGO,CITIES,5,early
1,6,1,ELM,TREES,14,early
1,6,2,HICKORY,TREES,16,early
1,6,3,PLUM,FRUITS,9,early
1,6,4,VIOLIN,INSTRUMENTS,1,early
1,6,5,CELLO,INSTRUMENTS,2,early
1,6,6,TRIANGLE,INSTRUMENTS,3,early
1,6,7,SAXOPHONE,INSTRUMENTS,4,early
1,6,8,MIAMI,CITIES,3,early
1,6,9,SCREWS,TOOLS,7,early
1,6,10,WEDGE,TOOLS,8,early
1,6,11,PINE,TREES,15,early
1,7,1,WISCONSIN,STATES,1,early
1,7,2,PHILADELPHIA,CITIES,5,early
1,7,3,JERUSALEM,CITIES,8,early
1,7,4,HAWAII,STATES,4,early
1,8,1,MONTREAL,CITIES,1,late
1,9,1,FOUNDATION,BUILDING RELATED,16,late
1,9,2,CAULIFLOWER,VEGETABLES,15,late
1,9,3,BROCCOLI,VEGETABLES,3,late
